,model_name,fold,accuracy,vectorizer,method
0,SVC,0,0.806863042818099,tfidf,lemma
1,SVC,1,0.7974491345277862,tfidf,lemma
2,SVC,2,0.8111144852717886,tfidf,lemma
3,SVC,3,0.7968417856058305,tfidf,lemma
4,SVC,4,0.7986638323716976,tfidf,lemma
5,SVC,5,0.8028554070473876,tfidf,lemma
6,SVC,6,0.7946537059538274,tfidf,lemma
7,SVC,7,0.8013365735115431,tfidf,lemma
8,SVC,8,0.7979951397326853,tfidf,lemma
9,SVC,9,0.7934386391251519,tfidf,lemma
10,Logisitc,0,0.7962344366838748,tfidf,lemma
11,Logisitc,1,0.7849984816276951,tfidf,lemma
12,Logisitc,2,0.795930762222897,tfidf,lemma
13,Logisitc,3,0.7831764348618281,tfidf,lemma
14,Logisitc,4,0.7804433647130277,tfidf,lemma
15,Logisitc,5,0.784629404617254,tfidf,lemma
16,Logisitc,6,0.7736938031591738,tfidf,lemma
17,Logisitc,7,0.7864520048602673,tfidf,lemma
18,Logisitc,8,0.7864520048602673,tfidf,lemma
19,Logisitc,9,0.7858444714459295,tfidf,lemma
20,NaiveBayes,0,0.6337686000607349,tfidf,lemma
21,NaiveBayes,1,0.6383237169754024,tfidf,lemma
22,NaiveBayes,2,0.6337686000607349,tfidf,lemma
23,NaiveBayes,3,0.6374126935924689,tfidf,lemma
24,NaiveBayes,4,0.6237473428484664,tfidf,lemma
25,NaiveBayes,5,0.6294046172539489,tfidf,lemma
26,NaiveBayes,6,0.6391251518833536,tfidf,lemma
27,NaiveBayes,7,0.6433778857837181,tfidf,lemma
28,NaiveBayes,8,0.6470230862697448,tfidf,lemma
29,NaiveBayes,9,0.6391251518833536,tfidf,lemma
30,RandomForest,0,0.7397509869419981,tfidf,lemma
31,RandomForest,1,0.7354995444883086,tfidf,lemma
32,RandomForest,2,0.7370179167931977,tfidf,lemma
33,RandomForest,3,0.7300334041907076,tfidf,lemma
34,RandomForest,4,0.7351958700273307,tfidf,lemma
35,RandomForest,5,0.7223572296476306,tfidf,lemma
36,RandomForest,6,0.7256986634264885,tfidf,lemma
37,RandomForest,7,0.7247873633049817,tfidf,lemma
38,RandomForest,8,0.7360267314702309,tfidf,lemma
39,RandomForest,9,0.7323815309842041,tfidf,lemma
0,SVC,0,0.783480109322806,count,lemma
1,SVC,1,0.7856058305496508,count,lemma
2,SVC,2,0.7877315517764956,count,lemma
3,SVC,3,0.7874278773155178,count,lemma
4,SVC,4,0.7771029456422714,count,lemma
5,SVC,5,0.7852369380315918,count,lemma
6,SVC,6,0.7806804374240583,count,lemma
7,SVC,7,0.7818955042527339,count,lemma
8,SVC,8,0.7749088699878494,count,lemma
9,SVC,9,0.7904009720534629,count,lemma
10,Logisitc,0,0.792286668691163,count,lemma
11,Logisitc,1,0.7980564834497419,count,lemma
12,Logisitc,2,0.8059520194351655,count,lemma
13,Logisitc,3,0.8010932280595202,count,lemma
14,Logisitc,4,0.7919829942301853,count,lemma
15,Logisitc,5,0.7976913730255164,count,lemma
16,Logisitc,6,0.7861482381530984,count,lemma
17,Logisitc,7,0.7913122721749696,count,lemma
18,Logisitc,8,0.790097205346294,count,lemma
19,Logisitc,9,0.7940461725394897,count,lemma
20,NaiveBayes,0,0.6744609778317644,count,lemma
21,NaiveBayes,1,0.6841785605830549,count,lemma
22,NaiveBayes,2,0.6784087458244762,count,lemma
23,NaiveBayes,3,0.6756756756756757,count,lemma
24,NaiveBayes,4,0.6762830245976313,count,lemma
25,NaiveBayes,5,0.6646415552855407,count,lemma
26,NaiveBayes,6,0.6849939246658566,count,lemma
27,NaiveBayes,7,0.6795261239368166,count,lemma
28,NaiveBayes,8,0.6777035236938032,count,lemma
29,NaiveBayes,9,0.6801336573511543,count,lemma
30,RandomForest,0,0.754631035529912,count,lemma
31,RandomForest,1,0.7597935013665351,count,lemma
32,RandomForest,2,0.7537200121469785,count,lemma
33,RandomForest,3,0.7676890373519587,count,lemma
34,RandomForest,4,0.7461281506225327,count,lemma
35,RandomForest,5,0.7460510328068044,count,lemma
36,RandomForest,6,0.7484811664641555,count,lemma
37,RandomForest,7,0.7542527339003645,count,lemma
38,RandomForest,8,0.7630619684082625,count,lemma
39,RandomForest,9,0.7569866342648846,count,lemma
0,SVC,0,0.7928940176131187,tfidf,stem
1,SVC,1,0.7880352262374735,tfidf,stem
2,SVC,2,0.8059520194351655,tfidf,stem
3,SVC,3,0.7880352262374735,tfidf,stem
4,SVC,4,0.7950197388399636,tfidf,stem
5,SVC,5,0.7943499392466585,tfidf,stem
6,SVC,6,0.793134872417983,tfidf,stem
7,SVC,7,0.7888821385176185,tfidf,stem
8,SVC,8,0.7961725394896719,tfidf,stem
9,SVC,9,0.7925273390036452,tfidf,stem
10,Logisitc,0,0.7859095050106286,tfidf,stem
11,Logisitc,1,0.778013969025205,tfidf,stem
12,Logisitc,2,0.797752808988764,tfidf,stem
13,Logisitc,3,0.7846948071667172,tfidf,stem
14,Logisitc,4,0.7910719708472518,tfidf,stem
15,Logisitc,5,0.790097205346294,tfidf,stem
16,Logisitc,6,0.778857837181045,tfidf,stem
17,Logisitc,7,0.7864520048602673,tfidf,stem
18,Logisitc,8,0.793134872417983,tfidf,stem
19,Logisitc,9,0.7894896719319563,tfidf,stem
20,NaiveBayes,0,0.6365016702095354,tfidf,stem
21,NaiveBayes,1,0.6261767385362891,tfidf,stem
22,NaiveBayes,2,0.642575159429092,tfidf,stem
23,NaiveBayes,3,0.6337686000607349,tfidf,stem
24,NaiveBayes,4,0.6483449741876708,tfidf,stem
25,NaiveBayes,5,0.6339611178614823,tfidf,stem
26,NaiveBayes,6,0.6312272174969623,tfidf,stem
27,NaiveBayes,7,0.6439854191980559,tfidf,stem
28,NaiveBayes,8,0.6482381530984204,tfidf,stem
29,NaiveBayes,9,0.6476306196840826,tfidf,stem
30,RandomForest,0,0.7424840570907987,tfidf,stem
31,RandomForest,1,0.7461281506225327,tfidf,stem
32,RandomForest,2,0.740054661402976,tfidf,stem
33,RandomForest,3,0.736410567871242,tfidf,stem
34,RandomForest,4,0.7552383844518676,tfidf,stem
35,RandomForest,5,0.7305589307411907,tfidf,stem
36,RandomForest,6,0.7378493317132442,tfidf,stem
37,RandomForest,7,0.7317739975698664,tfidf,stem
38,RandomForest,8,0.7445321992709599,tfidf,stem
39,RandomForest,9,0.7448359659781288,tfidf,stem
0,SVC,0,0.779836015791072,count,stem
